urls,images,path
www.digikala.com/product/dkp-6981835/لپ-تاپ-156-اينچی-الین-ویر-مدل-m15-r3,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg,./Photos/notbook_ultabook/لپ-تاپ-156-اينچی-الین-ویر-مدل-m15-r3/dkstatics-public.digikala.com12.jpg
www.digikala.com/product/dkp-5149661/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-f,"https://dkstatics-public.digikala.com/digikala-products/7fb830bace59a3dea52799820b49e6aa89c9d4dc_1620800225.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-f/7fb830bace59a3dea52799820b49e6aa89c9d4dc_1620800225.jpg?x-oss-process=image13.jpg
www.digikala.com/product/dkp-7292439/لپ-تاپ-156-اینچی-اچپی-مدل-255-g8,"https://dkstatics-public.digikala.com/digikala-products/0b9c624caac615b239ab1220a6cceeb60fad6d8c_1639303096.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-اچپی-مدل-255-g8/0b9c624caac615b239ab1220a6cceeb60fad6d8c_1639303096.jpg?x-oss-process=image14.jpg
www.digikala.com/product/dkp-6279968/لپ-تاپ-133-اینچی-اپل-مدل-macbook-pro-cto-2020-همراه-با-تاچ-بار-clone-1-of-6142612,"https://dkstatics-public.digikala.com/digikala-products/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1630468933.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-133-اینچی-اپل-مدل-macbook-pro-cto-2020-همراه-با-تاچ-بار-clone-1-of-6142612/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1630468933.jpg?x-oss-process=image15.jpg
www.digikala.com/product/dkp-2905622/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-l3-15iml05-npa,"https://dkstatics-public.digikala.com/digikala-products/121530429.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-l3-15iml05-npa/121530429.jpg?x-oss-process=image16.jpg
www.digikala.com/product/dkp-5714108/لپ-تاپ-156-اینچی-اچپی-مدل-dw2196-a-nb,"https://dkstatics-public.digikala.com/digikala-products/9d11a3245fb87aba8e65bcf5475efb88c8b83539_1625904562.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-اچپی-مدل-dw2196-a-nb/9d11a3245fb87aba8e65bcf5475efb88c8b83539_1625904562.jpg?x-oss-process=image17.jpg
www.digikala.com/product/dkp-3433146/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-r521ja-bq083,"https://dkstatics-public.digikala.com/digikala-products/0efd163d6cc33b53c111c6e39450e8a3b37eadf8_1600690414.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-r521ja-bq083/0efd163d6cc33b53c111c6e39450e8a3b37eadf8_1600690414.jpg?x-oss-process=image18.jpg
www.digikala.com/product/dkp-3784925/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd92-2020-همراه-با-تاچ-بار,"https://dkstatics-public.digikala.com/digikala-products/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1605622866.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd92-2020-همراه-با-تاچ-بار/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1605622866.jpg?x-oss-process=image19.jpg
www.digikala.com/product/dkp-5519011/لپ-تاپ-156-اینچی-لنوو-مدل-v15-igl,"https://dkstatics-public.digikala.com/digikala-products/09b638ef54a2cbbe01a45230f1eb2aaca16c1f4a_1624103426.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-لنوو-مدل-v15-igl/09b638ef54a2cbbe01a45230f1eb2aaca16c1f4a_1624103426.jpg?x-oss-process=image20.jpg
www.digikala.com/product/dkp-3784517/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd82-2020-همراه-با-تاچ-بار,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg,./Photos/notbook_ultabook/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd82-2020-همراه-با-تاچ-بار/dkstatics-public.digikala.com21.jpg
