urls,images,path
www.digikala.com/product/dkp-3979790/شومیز-زنانه-اسمارا-مدل-r1,"https://dkstatics-public.digikala.com/digikala-products/5156773529b33337a00de8ee3e094ab74a19c6b7_1607802081.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-اسمارا-مدل-r1.jpg
www.digikala.com/product/dkp-3109583/شومیز-زنانه-امپریو-آرمانی-مدل-3g2c642n2iz-0100,"https://dkstatics-public.digikala.com/digikala-products/66415733e83d2393e3cfad833f4881eac6e19534_1595254810.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-امپریو-آرمانی-مدل-3g2c642n2iz-0100.jpg
www.digikala.com/product/dkp-1542057/بلوز-زنانه-افراتین-کد-2526-3-رنگ-صورتی,"https://dkstatics-public.digikala.com/digikala-products/117368795.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-2526-3-رنگ-صورتی.jpg
www.digikala.com/product/dkp-2331771/بلوز-زنانه-افراتین-کد-7511-رنگ-قرمز,"https://dkstatics-public.digikala.com/digikala-products/117728178.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7511-رنگ-قرمز.jpg
www.digikala.com/product/dkp-3640604/بلوز-زنانه-افراتین-کد-7521-رنگ-دودی,"https://dkstatics-public.digikala.com/digikala-products/7c65acd06b7f798199d10a352c0838ba53a1a88b_1603953678.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7521-رنگ-دودی.jpg
www.digikala.com/product/dkp-3972397/بلوز-زنانه-افراتین-کد-7524-رنگ-بادمجانی,"https://dkstatics-public.digikala.com/digikala-products/6e82ed2d6db06f96dc94442b89711b19d5679205_1607761407.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7524-رنگ-بادمجانی.jpg
www.digikala.com/product/dkp-5975550/شومیز-زنانه-گردیه-مدل-307233-3601,"https://dkstatics-public.digikala.com/digikala-products/1a4a56027abf53f8d2e5bc1132f06bb31a7bc5c9_1628482902.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-گردیه-مدل-307233-3601.jpg
www.digikala.com/product/dkp-4063814/بلوز-زنانه-افراتین-کد-7525-رنگ-مشکی,"https://dkstatics-public.digikala.com/digikala-products/f50ea03e3e81fc71ea5fe074967538c3d8e0330e_1608725216.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7525-رنگ-مشکی.jpg
www.digikala.com/product/dkp-3836259/بلوز-زنانه-مانگو-مدل-31097531-10,"https://dkstatics-public.digikala.com/digikala-products/e19e202368aa85946f65b776ce098e748cc38891_1606225634.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-مانگو-مدل-31097531-10.jpg
www.digikala.com/product/dkp-2624528/بلوز-زنانه-افراتین-کد-7515-رنگ-یشمی,"https://dkstatics-public.digikala.com/digikala-products/120152979.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7515-رنگ-یشمی.jpg
www.digikala.com/product/dkp-3997591/بلوز-زنانه-وینکلر-مدل-6260614017342,"https://dkstatics-public.digikala.com/digikala-products/7e15dba7cf2c300e7dd47fe587417ea353e164ea_1608126029.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-وینکلر-مدل-6260614017342.jpg
www.digikala.com/product/dkp-4820183/بلوز-زنانه-مدل-208golkh,"https://dkstatics-public.digikala.com/digikala-products/1cc5bb4191da001a9ae6322d9870b73f98118423_1617520244.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-مدل-208golkh.jpg
www.digikala.com/product/dkp-4063748/بلوز-زنانه-افراتین-کد-7525-رنگ-صورتی,"https://dkstatics-public.digikala.com/digikala-products/98bf0a677ec6dfd80bbc895cc383f0e793c9118a_1608724880.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-کد-7525-رنگ-صورتی.jpg
www.digikala.com/product/dkp-6576954/شومیز-زنانه-گردیه-مدل-307235-07,"https://dkstatics-public.digikala.com/digikala-products/60609a40984d9545e26f4176236a3ba6e74e10ff_1633760987.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-گردیه-مدل-307235-07.jpg
www.digikala.com/product/dkp-5384940/بلوز-زنانه-مدل-prckh123,"https://dkstatics-public.digikala.com/digikala-products/5d240fdd3ab50904408e86d35a6aaf25519e188d_1623215114.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-مدل-prckh123.jpg
www.digikala.com/product/dkp-4103272/شومیز-زنانه-مارینا-رینالدی-مدل-51110380040143,"https://dkstatics-public.digikala.com/digikala-products/0ffec33c4399dcbf4cab2bf9980ae4c98fc4772a_1609316239.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-مارینا-رینالدی-مدل-51110380040143.jpg
www.digikala.com/product/dkp-4292583/شومیز-زنانه-آستین-پفی-مدل-014,"https://dkstatics-public.digikala.com/digikala-products/750ec3a1d84b59bdb419fb7615f38a77038f9b99_1611397743.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-آستین-پفی-مدل-014.jpg
www.digikala.com/product/dkp-5975044/شومیز-زنانه-برنس-مدل-elen-50,"https://dkstatics-public.digikala.com/digikala-products/e4c3632b4256a5bc1b9edf668c58c41ce7dc1991_1628573571.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-برنس-مدل-elen-50.jpg
www.digikala.com/product/dkp-7070273/بلوز-زنانه-مدل-پولکی-رنگ-آبی,"https://dkstatics-public.digikala.com/digikala-products/3b73d3454a974617f3b6bee45cf9b688a46b6251_1636993955.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-مدل-پولکی-رنگ-آبی.jpg
www.digikala.com/product/dkp-5975718/شومیز-زنانه-گردیه-مدل-307227-92,"https://dkstatics-public.digikala.com/digikala-products/327c916ed08b48b8e41152277975a89a5c182f28_1628482383.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-گردیه-مدل-307227-92.jpg
www.digikala.com/product/dkp-3833846/بلوز-زنانه-مانگو-مدل-31017583-ow,"https://dkstatics-public.digikala.com/digikala-products/73e394c3a7b551f7e8efc0019694a6e73d8dd891_1606214013.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-مانگو-مدل-31017583-ow.jpg
www.digikala.com/product/dkp-3466131/شومیز-زنانه-مدل-az-s3,"https://dkstatics-public.digikala.com/digikala-products/eb60bb608d6776156f12788fd560781cf4cead28_1601300025.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-مدل-az-s3.jpg
www.digikala.com/product/dkp-5975049/شومیز-زنانه-برنس-مدل-elen-99,"https://dkstatics-public.digikala.com/digikala-products/b58c96e1d529e6915dd2f468ff5e1703c39499d9_1628573603.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",شومیز-زنانه-برنس-مدل-elen-99.jpg
www.digikala.com/product/dkp-7193258/بلوز-زنانه-افراتین-مدل-برگ-کد-7538-رنگ-طوسی,"https://dkstatics-public.digikala.com/digikala-products/3384a99de0d21187baced93a435480da9ef7cbdd_1638267689.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",بلوز-زنانه-افراتین-مدل-برگ-کد-7538-رنگ-طوسی.jpg
